Region,DM#,HA#,AF#,HF#,HC#,HYP#,IHD#,PAD#,OBES#,STROKE#,Year
West,1144581.9070000001,40961.303,434865.67490000004,818595.0150000001,2086603.2389999996,2630507.634,1536037.3290000001,420421.88159999996,169213.87300000002,204133.0918,2006
Southeast,2142856.3000000003,82072.6749,669392.3435000001,1323295.108,3821479.6429999997,4886927.714,2907341.827,764556.3807999998,297230.8196,356545.0584999999,2006
Southwest,751933.3049999999,30050.940599999998,233778.3655,539750.237,1304654.4239999999,1734143.683,1062505.673,297852.20530000003,117078.09899999999,135138.94040000002,2006
Northeast,1925350.241,76566.93310000001,713629.6486,1280740.2410000002,3550559.3400000003,4408822.978999999,2691588.0360000003,994752.2803999999,265666.2529,322896.0688,2006
Midwest,1938861.2710000002,80674.5432,649864.9247,1312121.912,3241699.6160000004,4370253.201,2614411.2060000002,766427.2167000001,296092.2194,306586.59719999996,2006
West,1224515.583,41589.66210000001,452335.8503,823313.8672000001,2230050.277,2760259.694,1560180.96,446767.46510000003,184262.3067,205309.09410000002,2007
Southeast,2284698.5260000005,82589.5384,701901.4233,1331849.0589999997,4112482.3580000005,5155263.072000001,2988717.2509999997,806285.6725000001,324245.9286,362443.6381999999,2007
Southwest,800940.799,29961.1498,245433.06550000003,543452.62,1407307.334,1834157.893,1098612.709,318529.0226,128389.8814,135350.4247,2007
Northeast,2016650.1510000003,75595.3274,730749.1549000001,1266081.7729999998,3721766.5909999995,4513642.906,2686349.331,1029272.8892,285964.04639999993,320035.6949,2007
Midwest,2049551.9860000003,81561.91380000001,676680.4227,1317298.9199999997,3442333.849,4546273.337,2666291.653,808039.2325,322228.0445,304661.4078,2007
West,1288399.4760000003,43412.90019999999,463554.60260000004,826601.9604,2350149.8660000004,2888968.7120000003,1581784.9030000002,470551.2827000001,210398.1612,205701.77659999998,2008
Southeast,2403751.301,86349.92749999999,723396.8976,1333756.139,4382176.6620000005,5420417.818999999,3065187.812,843449.2764,369318.2089,367429.15750000003,2008
Southwest,850801.02,31196.158600000002,252835.10789999997,546974.1089999999,1507134.1830000002,1942322.9270000001,1135547.386,337538.02770000004,147129.836,139001.9231,2008
Northeast,2097352.248,78984.5655,742620.3764000001,1255704.6826000002,3890408.806,4660746.765000001,2698506.826,1074236.2510000002,323429.41130000004,323369.56320000003,2008
Midwest,2125467.267,83951.92659999999,686604.7171000001,1305368.0820000002,3596734.208,4691380.729,2685808.639,835319.3652,367797.08,304950.3232,2008
West,1348891.206,43146.770599999996,482921.07029999996,825908.0316000001,2479222.5899999994,3011989.6459999997,1594880.6300000001,493659.7580999999,239729.339,206605.209,2009
Southeast,2509840.6890000002,84448.79470000001,759926.6016999999,1343922.972,4645238.622,5666234.919999999,3121000.0790000004,890772.8292,419538.13120000006,370494.86960000003,2009
Southwest,894431.0719999999,30342.162,267044.5968,550274.048,1609071.412,2047659.02,1168125.692,354647.1716,168232.07280000002,140411.2856,2009
Northeast,2144911.567,76072.5921,763794.4727,1234285.5340000002,4040911.7470000004,4773398.057,2679033.9150000005,1093935.0234,362550.40459999995,320839.29620000004,2009
Midwest,2193981.7600000002,80387.20509999999,714409.4393000001,1292283.0620000002,3757264.9740000004,4823593.294000001,2702621.746,866596.1674,416971.2017,305040.424,2009
West,1410079.553,44978.854400000004,507873.4011000001,830096.1988000001,2598598.8419999992,3135404.6599999997,1609697.7669999998,510221.7641,271603.4784,210480.24780000004,2010
Southeast,2610872.478,87325.41410000001,801930.9315000001,1358681.6779999998,4852483.4229999995,5863549.086,3154911.1649999996,929041.3321,465578.1944,374855.48970000003,2010
Southwest,943583.512,31794.7637,282865.8958,558338.505,1701502.736,2141367.8680000002,1191039.915,371116.0463,189173.0218,143252.2557,2010
Northeast,2193572.93,77121.47230000001,784069.9532999999,1217224.6605999998,4156281.3520000004,4842718.517,2650606.948000001,1100534.1798,400322.2857,320202.6789,2010
Midwest,2240504.16,82784.2389,745081.5658999999,1281915.2599999998,3897169.515,4929686.220999999,2682200.222,889767.6092999999,456080.3924999999,304019.18009999994,2010
West,1590598.4320000003,50246.2987,591735.4814,922603.6676000002,2979635.848,3550928.2290000003,1788504.268,596142.9674,363376.82579999993,234483.2158,2011
Southeast,2872840.9699999997,94382.60990000001,917711.2789,1480402.2870000002,5443826.987,6448121.781000001,3419442.116,1055321.5619,609764.8328,406596.646,2011
Southwest,1052769.806,34573.1574,324568.4634,611170.6159999999,1931318.8800000001,2374709.105,1301234.1570000001,423745.2254,246794.1278,156715.3294,2011
Northeast,2394013.439,83239.42500000002,872880.5741000001,1314838.6354000003,4595746.974,5257452.85,2827361.9689999996,1229597.9952,515177.49390000006,344772.14060000004,2011
Midwest,2434033.7440000004,89240.8499,839471.1851,1395095.971,4323880.014,5359947.511999999,2881705.617,1014733.0488999999,597630.8759999999,330295.89939999994,2011
West,1659565.069,50792.74479999999,617436.4566,923004.0427,3085066.3439999996,3675488.159000001,1813661.0170000005,617895.0938000001,449374.2007,239087.31510000004,2012
Southeast,2998751.0650000004,95028.41260000001,965377.0262999999,1492744.348,5685783.562000001,6715071.312999999,3495804.819,1098580.848,789930.094,417947.47569999995,2012
Southwest,1104751.808,35427.1391,342286.3254,615343.248,2028050.5169999998,2486627.471,1325495.06,436329.6381,310814.85920000006,160857.07880000002,2012
Northeast,2465282.621,82897.32750000001,894244.0069,1303279.4676,4721818.102,5378991.042,2821053.671,1252740.9597000002,635760.4731000001,347877.054,2012
Midwest,2500141.974,90956.07819999999,877128.4904,1389564.3969999999,4468581.479,5512212.2129999995,2898981.9869999997,1043401.7368,734316.5536,335985.21030000004,2012
