Year,State,Region,Number of People by Medicare-Medicaid Enrollment Type,Number of People,Number of People with FFS,Number of Females with FFS,Number of Males with FFS,A%_<40,A%_40-64,A%_65-84,A%_85+,F%,M%,White%,AfrA%,His%,Asian%,Indig%,Unknown%,ha%,af%,hf%,dm%,hc%,hyp%,ihd%,strokeorTIA%,obesity%,pad%,Number of FFS people who used Medicare procedures,Number of FFS people who used Medicare imaging services,Number of FFS people who used Medicare laboratory/testing services,Number of FFS people who used Medicare durable medical equipment,Number of people who used Medicare Part D prescription drugs,Total Medicare payments,Total Medicare IP Hospital FFS payments,Total Medicare Other IP Hospital FFS payments,Total Medicare Part B drug FFS payments,Total Medicare procedure FFS payments,Total Medicare imaging FFS payments,Total Medicare durable medical equipment FFS payments,Total Medicare Part D prescription drug FFS costs (total RX cost),Number of FFS people who used Medicaid lab/xray services,Number of FFS people who used Medicaid durable medical equipment services,Number of FFS people who used Medicaid drugs,Number of FFS people who used Medicaid clinic services,Total Medicaid FFS payments,Total Medicaid lab/xray FFS payments,Total Medicaid durable medical equipment FFS payments,Total Medicaid drug FFS payments,Total Medicaid clinic payments
2006,National,NaN,Full Benefit,6658396,6111263,3828000,2283263,0.0973,0.284,0.467,0.151,0.629,0.371,0.572,0.193,0.0651,0.149,0.0092,0.012,0.011,0.0598,0.247,0.327,0.304,0.544,0.328,0.0668,0.0781,0.17,3505816,4180695,4523485,2148416,6043029,103162132872,25531333962,2054722214,1495682777,3130448748,1811653648,2425641187,22267961028,2378815,2066766,3668573,1143488,85044246114,367071855,1158437826,1384971687,801943674
2006,National,NaN,Partial Benefit,1794642,1777803,1088606,689197,0.0518,0.323,0.545,0.0807,0.613,0.387,0.65,0.218,0.0121,0.108,0.0065,0.0053,0.009,0.0435,0.166,0.272,0.3,0.471,0.272,0.034,0.0673,0.0866,800551,1026708,1109356,561060,1527165,21151914917,4997218317,307858475,367508892,758604447,439195634,627988739,3842265284,291053,144486,114607,123058,1043881184,55329858,44573860,66893633,39619512
2006,National,NaN,Medicare Only,37165285,28517682,15573890,12943789,0.0101,0.102,0.766,0.122,0.541,0.459,0.835,0.075,0.0166,0.061,0.0031,0.0096,0.0087,0.074,0.147,0.223,0.388,0.503,0.301,0.0368,0.0319,0.0896,16999186,19184205,21459890,7216029,14525219,259669947014,71672656675,1560465756,6869236129,14980867918,8520043518,5174964175,14065535486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,National,NaN,Medicaid Only (Disability),5229737,2395601,1182861,1212626,0.531,0.462,NaN,NaN,0.503,0.497,0.458,0.271,0.0245,0.0833,0.0106,0.0245,0.0043,0.008,0.0598,0.13,0.0718,0.172,0.0865,0.018,0.0411,0.0191,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3140243,1737274,3796825,1268868,50911074512,1997027836,1695261892,12072713254,1381770702
2006,AK,West,Full Benefit,12811,12805,7206,5599,0.114,0.329,0.472,0.0839,0.563,0.437,0.513,0.0405,0.0816,0.0379,0.313,0.0139,0.0079,0.0471,0.151,0.241,0.198,0.404,0.194,0.0303,0.0795,0.0518,5550,7778,7302,4070,10774,176662007,60138842,2386330,2102090,5329674,2653722,3646178,51188954,7640,6873,3929,5080,232941099,1610545,5276673,2522116,4123638
2006,AK,West,Partial Benefit,283,283,154,129,NaN,NaN,0.64,0.053,0.544,0.456,0.576,NaN,NaN,NaN,0.336,NaN,NaN,0.0424,0.127,0.205,0.212,0.399,0.184,NaN,0.0883,0.0389,114,162,158,68,174,2670020,1037133,NaN,NaN,114669,48687,31156,439338,NaN,NaN,11,NaN,117796,NaN,NaN,4683,NaN
2006,AK,West,Medicare Only,44058,39788,19532,20256,0.0101,0.101,0.813,0.0758,0.484,0.516,0.803,0.0237,0.02,0.016,0.124,0.013,0.0056,0.0653,0.102,0.17,0.247,0.364,0.194,0.0242,0.0315,0.0441,18284,23303,24538,6872,7535,239192742,106180867,1034322,5472342,16438057,9220556,4454797,8973721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,AK,West,Medicaid Only (Disability),8538,8538,4339,4199,0.5,0.486,NaN,NaN,0.508,0.492,0.524,0.0617,0.0779,NaN,0.279,NaN,0.0026,0.0073,0.0365,0.104,0.05,0.115,0.0444,0.0114,0.0286,0.0057,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5838,3946,6859,3467,171294955,7407410,6645244,37052495,8087994
2006,AL,Southeast,Full Benefit,97042,89569,61106,28463,0.123,0.303,0.415,0.16,0.686,0.314,0.539,0.444,0.0068,0.0054,0.0011,0.004,0.0106,0.058,0.257,0.322,0.233,0.577,0.273,0.0771,0.0697,0.125,50095,63377,68511,32369,89113,1310391819,306781028,27898630,23911634,36630304,21734812,28821013,273097394,48589,16863,47878,15262,1118918005,7777585,3028565,9771349,22886164
2006,AL,Southeast,Partial Benefit,100155,97880,64450,33430,0.0432,0.298,0.555,0.104,0.66,0.34,0.641,0.349,0.0018,0.0043,0.0009,0.0022,0.0087,0.0509,0.185,0.266,0.272,0.499,0.264,0.0407,0.0512,0.0805,45986,56872,62258,31712,87807,1163672693,255528256,11863184,20522966,39456315,23479576,29693404,183327178,22030,1278,1493,6293,56171940,3829282,396036,720248,8548067
