State,Number of People by Medicare-Medicaid Enrollment Type,Number of People,Number of People with FFS,Number of Females with FFS,Number of Males with FFS,Percent with all 12 months in FFS Medicaid,Percent with all 12 months in FFS Medicare,Percent with all 12 months with Medicare Part D coverage,Percent under 40 Years,Percent between 40-64 Years,Percent between 65-84 Years,Percent 85+ Years,Percent under 65 Years,Percent 65+ Years,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Asian or Pacific Islander,Percent American Indian or Alaska Native,Percent Other or Unknown Race,Percent of Medicare beneficiaries with benefits due to Old Age or Survivor's Insurance,Percent of Medicare beneficiaries with benefits due to Disability Insurance,Percent of Medicare beneficiaries with benefits due to ESRD with or without Disability Insurance,Percent of Medicaid enrollees with MAS - Receiving Cash or Section 1931,Percent of Medicaid enrollees with MAS - Medically Needy,Percent of Medicaid enrollees with MAS - Poverty Related,Percent of Medicaid enrollees with MAS - 1115 Demonstration Expansion,Percent of Medicaid enrollees with MAS - unclassified or unknown,Percent of Medicaid enrollees with BOE - Aged,Percent of Medicaid enrollees with BOE - Blind/Disabled,Percent of Medicaid enrollees with BOE - Child,Percent of Medicaid enrollees with BOE - Adult,Percent of Medicaid enrollees with BOE - Breast and Cervical Cancer Prevention Act,Percent of Medicaid enrollees with BOE - Other/Unknown,Percent of people with acquired hypothyroidism,Percent of people who have had a heart attack,Percent of people with Alzheimer's disease,Percent of people with Alzheimer's and related disorders,Percent of people with anemia,Percent of people with asthma,Percent of people with atrial fibrillation,Percent of people with cataracts,Percent of people with chronic kidney disease,Percent of people with chronic obstructive pulmonary disease,Percent of people with heart failure,Percent of people with diabetes,Percent of people with glaucoma,Percent of people with a hip fracture,Percent of people with high cholesterol,Percent of people with hypertension,Percent of people with ischemic heart disease,Percent of people with osteoporosis,Percent of people with arthritis,Percent of people with stroke or TIA,Percent of females with breast cancer,Percent of people with colorectal cancer,Percent of females with endometrial cancer,Percent of people with lung cancer,Percent of males with prostate cancer,Percent of males with benign prostatic hyperplasia,Percent of people with depression (any instance including bipolar episodes),Percent of people with Major Depressive Disorders,Percent of people with ADHD or other conduct disorders,Percent of people with anxiety,Percent of people with bipolar disorder,Percent of people with personality disorders,Percent of people with post-traumatic stress disorder,Percent of people with schizophrenia,Percent of people with schizophrenia or other psychotic disorders,Percent of people with tobacco use disorder,Percent of people with autism,Percent of people with cerebral palsy,Percent of people with cystic fibrosis or other metabolic developmental disorders,Percent of people with epilepsy,Percent of people with intellectual disabilities,Percent of people with learning disabilities,Percent of people with mobility impairments,Percent of people with multiple sclerosis and transverse myelitis,Percent of people with muscular dystrophy,Percent of people with deafness or other hearing impairment,Percent of people with blindness or other visual impairment,Percent of people with spina bifida or other congenital anomalies,Percent of people with a history of spinal cord injury,Percent of people with a history of traumatic brain injury,Percent of people with alcohol use disorder,Percent of people with drug use disorder,Percent of people with fibromyalgia or chronic pain,Percent of people with hepatitis a,Percent of people with hepatitis b (acute or unspecified),Percent of people with hepatitis b (chronic),Percent of people with hepatitis c (acute),Percent of people with hepatitis c (chronic),Percent of people with hepatitis c (unspecified),Percent of people with hepatitis d,Percent of people with hepatitis e,Percent of people with viral hepatitis (general),Percent of people with HIV/AIDS,Percent of people with leukemia or lymphoma,"Percent of people with liver disease, cirrhosis, or other liver condition",Percent of people with migraines or other chronic headaches,Percent of people with obesity,Percent of people with pressure ulcers or chronic ulcers,Percent of people with peripheral vascular disease,Percent of people with overarching opioid use disorder,Percent of people with opioid use disorder through diagnosis or procedure code,Percent of people with opioid use related hospitalization or ED visit,Percent of people with Medication Assistance Therapy,Percent of people with Sickle Cell Disease,Count of Acute IP Hospital Days - Medicare and Medicaid combined,Count of Acute IP Hospital Admissions - Medicare and Medicaid combined,Total dollars (Medicare and Medicaid) associated with IP hospital admissions,Count of Acute IP Hospital 30-day Readmissions - Medicare and Medicaid combined,Readmission Rate (% of admissions that are readmissions),Count of ED Visits - Medicare and Medicaid combined,"ED Visits per 1,000 enrollees",Percent with at least one Medicare or Medicaid Nursing Facility or non Facility-based Long-term Care Service (claim or assessment),Percent with at least one Medicare or Medicaid Residential Mental Health service,Percent with at least one Medicare or Medicaid Community Mental Health service,Number of FFS people who used Medicare IP Hospital services,Number of FFS people who used Medicare Other IP Hospital services,Number of FFS people who used Medicare Other facility-based post-acute care services,Number of FFS people who used Medicare SNF services,Number of FFS people who used Medicare home health services,Number of FFS people who used Medicare hospice services,Number of FFS people who used Medicare hospital outpatient services,Number of FFS people who used Medicare ESRD facility services,Number of FFS people who used Medicare RHC/FQHC clinic services,Number of FFS people who used Medicare outpatient therapy services,Number of FFS people who used Medicare Community Mental Health Clinic services,Number of FFS people who used Medicare ambulatory surgical center services,Number of FFS people who used Medicare Part B drugs,Number of FFS people who used Medicare physician evaluation & management services,Number of FFS people who used Medicare procedures,Number of FFS people who used Medicare imaging services,Number of FFS people who used Medicare laboratory/testing services,Number of FFS people who used Medicare durable medical equipment,Number of FFS people who used Medicare Other Part B services,Number of people who used Medicare Part D prescription drugs,Number of people who were enrolled in Medicare managed care Part A or Part B,Total Medicare payments,Total Medicare IP Hospital FFS payments,Total Medicare Other IP Hospital FFS payments,Total Medicare Other facility-based post-acute care FFS payments,Total Medicare SNF FFS payments,Total Medicare home health FFS payments,Total Medicare hospice FFS payments,Total Medicare hospital outpatient FFS payments,Total Medicare ESRD facility FFS payments,Total Medicare RHC/FQHC clinic FFS payments,Total Medicare Outpatient Therapy FFS Payments,Total Medicare Community Mental Health Clinic FFS Payments,Total Medicare ambulatory surgical center FFS payments,Total Medicare Part B drug FFS payments,Total Medicare physician evaluation & management FFS payments,Total Medicare procedure FFS payments,Total Medicare imaging FFS payments,Total Medicare laboratory/testing FFS payments,Total Medicare durable medical equipment FFS payments,Total Medicare Other Part B FFS payments,Total Medicare Part D prescription drug FFS costs (total RX cost),Total Medicare managed care Part A premium payments,Total Medicare managed care Part B premium payments,Number of FFS people who used Medicaid waiver services (across all types of service),Number of FFS people who used Medicaid non-waiver services (across all types of service),Number of FFS people who used Medicaid IP Hospital services,Number of FFS people who used Medicaid mental health services,Number of FFS people who used Medicaid intermediate care facility services,Number of FFS people who used Medicaid nursing facility services,Number of FFS people who used Medicaid home health services,Number of FFS people who used Medicaid hospice services,Number of FFS people who used Medicaid hospital outpatient services,Number of FFS people who used Medicaid physician services,Number of FFS people who used Medicaid lab/xray services,Number of FFS people who used Medicaid durable medical equipment services,Number of FFS people who used Medicaid drugs,Number of FFS people who used Medicaid personal care services,Number of FFS people who used Medicaid targeted case management services,Number of FFS people who used Medicaid clinic services,Number of FFS people who used Medicaid dental services,Number of FFS people who used Medicaid transportation services,Number of FFS people who used Medicaid other services,Number of people who used Medicaid managed care services,Total Medicaid FFS payments,Total waiver FFS payments (across all types of service),Total Medicaid non-waiver FFS payments (across all types of service),Total Medicaid IP Hospital FFS payments,Total Medicaid mental health FFS payments,Total Medicaid intermediate care facility FFS payments,Total Medicaid nursing facility FFS payments,Total Medicaid home health FFS payments,Total Medicaid hospice FFS payments,Total Medicaid hospital outpatient FFS payments,Total Medicaid physician FFS payments,Total Medicaid lab/xray FFS payments,Total Medicaid durable medical equipment FFS payments,Total Medicaid drug FFS payments,Total Medicaid personal care payments,Total Medicaid targeted case management payments,Total Medicaid clinic payments,Total Medicaid dental payments,Total Medicaid transportation service payments,Total Medicaid other service payments,Total Medicaid managed care payments,Percent of Medicaid enrollees with Home and Community Based Services waiver payments,Percent of Medicaid enrollees without Home and Community Based Services waiver payments,Percent with Medicaid non facility-based long term care services (home health or Personal Care Services),Year
National,Full Benefit,6658396,6111263,3828000,2283263,0.646,0.867,0.992,0.0973,0.284,0.467,0.151,0.382,0.618,0.629,0.371,0.572,0.193,0.0651,0.149,0.0092,0.012,0.614,0.372,0.0141,0.501,0.0964,0.126,0.0039,0.273,0.513,0.427,0.0001,0.0089,0.0001,0.0508,0.0867,0.011,0.106,0.217,0.296,0.0677,0.0598,0.148,0.146,0.163,0.247,0.327,0.0788,0.0152,0.304,0.544,0.328,0.0686,0.29,0.0668,0.028,0.011,0.003,0.0087,0.034,0.0818,0.233,0.234,0.024,0.13,0.0662,0.0192,0.0123,0.0758,0.124,0.0872,0.0039,0.0134,0.0039,0.0338,0.0605,0.0019,0.0608,0.0091,0.0015,0.0454,0.0112,0.0036,0.0049,0.0077,0.0377,0.0378,0.0582,0.0005,0.0034,0.003,0.0083,0.0138,0.0099,0.0003,<0.01%,0.0257,0.0115,0.0089,0.0362,0.0202,0.0781,0.0923,0.17,0.0139,0.0114,0.01,0.0015,0.0013,27856166,4253924,27930818641,1139649,0.268,7795946,1275.7,0.201,0.0308,0.0267,1607457,170928,99124,1042611,683630,243468,3931085,133241,760993,86558,13306,294487,2098913,5503229,3505816,4180695,4523485,2148416,2773619,6043029,921458,103162132872,25531333962,2054722214,2752924318,8646476282,3968844938,2877104861,4860512629,2882471810,303133639,139611435,138009903,222653396,1495682777,6023661866,3130448748,1811653648,1425527639,2425641187,2029250600,22267961028,4221420989,3953126254,504532,5936774,958495,871522,65515,1263521,364637,96731,2196908,3861684,2378815,2066766,3668573,649095,380941,1143488,1224880,1237301,2897997,2940627,85044246114,9188344738,75855955054,2399484679,2168795400,7479532733,39129877035,2277615089,1150338760,843049124,871690496,367071855,1158437826,1384971687,6660915505,567537224,801943674,298838731,784904589,16699295385,4249936621,0.0941,0.363,0.199,2006
National,Partial Benefit,1794642,1777803,1088606,689197,0.95,0.838,0.97,0.0518,0.323,0.545,0.0807,0.375,0.625,0.613,0.387,0.65,0.218,0.0121,0.108,0.0065,0.0053,0.622,0.366,0.0115,0.007,0.0093,0.842,0.0061,0.135,0.555,0.334,<0.01%,0.0006,<0.01%,0.11,0.0582,0.009,0.0218,0.0567,0.18,0.0504,0.0435,0.113,0.101,0.136,0.166,0.272,0.0612,0.0052,0.3,0.471,0.272,0.0394,0.235,0.034,0.0284,0.0094,0.0028,0.0092,0.0301,0.0527,0.152,0.145,0.0055,0.0967,0.0431,0.0112,0.008,0.0386,0.0514,0.0967,0.0003,0.0018,0.0023,0.0143,0.0057,0.0003,0.0206,0.0048,0.0007,0.0168,0.0042,0.0013,0.0022,0.0029,0.0301,0.0275,0.0561,0.0003,0.002,0.0015,0.0069,0.0114,0.0089,0.0001,<0.01%,0.02,0.011,0.008,0.0285,0.0185,0.0673,0.041,0.0866,0.0098,0.0079,0.0078,0.0008,0.0009,4299697,800624,5175595581,193981,0.242,1637102,920.9,0.0155,0.0169,0.011,358102,30297,23109,62454,168453,32196,1005250,26624,226130,24492,3969,104853,637910,1327289,800551,1026708,1109356,561060,530061,1527165,433758,21151914917,4997218317,307858475,541573535,536947745,919906817,346499169,1262750509,592625674,77075330,34894916,41497607,77382769,367508892,1088185213,758604447,439195634,325688199,627988739,257045870,3842265284,1929325912,1779881612,4273,651104,131020,67612,240,19780,12923,1509,272089,462880,291053,144486,114607,5269,11929,123058,21230,71984,232736,106144,1043881184,23305127,1020577281,178377264,38420586,15572120,183095458,11634534,10456466,100919227,125100123,55329858,44573860,66893633,25134170,11943236,39619512,6666429,15274245,114871687,51567102,0.005,0.0777,0.014,2006
National,Medicare Only,37165285,28517682,15573890,12943789,.,0.765,0.434,0.0101,0.102,0.766,0.122,0.112,0.888,0.541,0.459,0.835,0.075,0.0166,0.061,0.0031,0.0096,0.887,0.109,0.004,.,.,.,.,.,.,.,.,.,.,.,0.0678,0.0087,0.037,0.0785,0.188,0.034,0.074,0.222,0.0888,0.0961,0.147,0.223,0.1,0.0078,0.388,0.503,0.301,0.0582,0.244,0.0368,0.0487,0.0136,0.0039,0.01,0.075,0.111,0.0877,0.081,0.0016,0.0481,0.01,0.0019,0.0019,0.0054,0.0168,0.0321,0.0001,0.0005,0.0028,0.0065,0.001,0.0001,0.0164,0.0035,0.0003,0.0262,0.0029,0.001,0.0016,0.0029,0.0095,0.0064,0.0462,0.0002,0.0006,0.0005,0.0014,0.0025,0.0016,<0.01%,<0.01%,0.0052,0.0013,0.0118,0.021,0.0083,0.0319,0.0357,0.0896,0.0022,0.0016,0.0018,0.0001,0.0002,42069862,8079102,71672656675,1400547,0.173,13003452,456.0,0.0019,0.0036,0.0002,5460155,147293,360028,1423952,2170556,667413,17134208,172173,1620691,522167,3928,2682604,14729224,24989452,16999186,19184205,21459890,7216029,9706220,14525219,7139283,259669947014,71672656675,1560465756,7229572324,12601311123,9093892612,6024611817,18524950097,3275735339,457973816,470207348,36654170,1888518620,6869236129,17776964674,14980867918,8520043518,5661535012,5174964175,3414883486,14065535486,25546108295,24823293480,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2006
National,Medicaid Only (Disability),5229737,2395601,1182861,1212626,0.458,.,.,0.531,0.462,.,.,0.993,.,0.503,0.497,0.458,0.271,0.0245,0.0833,0.0106,0.0245,.,.,.,0.764,0.0303,0.0467,0.0048,0.155,0.0014,0.899,0.0088,0.0061,0.0056,0.0789,0.0236,0.0043,0.0027,0.016,0.0885,0.059,0.008,0.0228,0.048,0.06,0.0598,0.13,0.0182,0.002,0.0718,0.172,0.0865,0.0054,0.0614,0.018,0.0203,0.0039,0.0019,0.0067,0.0031,0.0065,0.105,0.155,0.0735,0.0897,0.0795,0.0182,0.0184,0.07,0.0871,0.0699,0.0208,0.0282,0.0033,0.0366,0.0738,0.0259,0.0277,0.0058,0.0025,0.0159,0.0035,0.0103,0.0041,0.0049,0.056,0.0621,0.0239,0.0003,0.0027,0.0023,0.0087,0.0174,0.0129,0.0001,<0.01%,0.0305,0.0221,0.0065,0.0258,0.0186,0.0411,0.024,0.0191,0.0229,0.0213,0.0141,0.0024,0.0045,10382469,1591500,14050841825,772453,0.485,2591688,1081.9,0.0371,0.0102,0.0478,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,177231,4436317,839573,1630557,34076,130949,249990,32176,2383085,3300582,3140243,1737274,3796825,209069,571716,1268868,1142954,918547,2039100,3477054,50911074512,4078898954,59981690063,14050841825,4548775637,3925231078,4387933393,1626202684,334984667,2377504420,2795720256,1997027836,1695261892,12072713254,2086505544,714657927,1381770702,326524676,586084139,9152343693,9936064812,0.0496,0.433,0.116,2006
AK,Full Benefit,12811,12805,7206,5599,0.991,0.997,0.995,0.114,0.329,0.472,0.0839,0.444,0.556,0.563,0.437,0.513,0.0405,0.0816,0.0379,0.313,0.0139,0.553,0.435,0.0116,0.836,*,*,*,0.164,0.474,0.472,*,0.0043,*,0.0493,0.0519,0.0079,0.0444,0.128,0.195,0.0618,0.0471,0.0961,0.108,0.148,0.151,0.241,0.0512,0.0078,0.198,0.404,0.194,0.0419,0.226,0.0303,0.0329,0.0116,0.0031,0.0108,0.0214,0.0573,0.194,0.189,0.0184,0.118,0.0615,0.023,0.0283,0.0793,0.106,0.164,0.0048,0.0123,0.0024,0.0201,0.044,0.0023,0.0527,0.013,0.0012,0.0786,0.0088,0.0043,0.0049,0.0067,0.0767,0.0643,0.0586,0.0009,0.0023,0.0037,0.0107,0.0215,0.0177,*,*,0.036,0.0061,0.0074,0.0361,0.0231,0.0795,0.052,0.0518,0.0196,0.015,0.0126,0.0019,*,45233,7980,62619647,2102,0.263,14774,1153.8,0.085,0.0143,0.126,3003,167,56,511,778,147,9587,170,1496,172,*,556,2683,10748,5550,7778,7302,4070,3593,10774,85,176662007,60138842,2386330,1243007,6332452,3556059,1297734,17587292,3777431,579378,*,*,445359,2102090,7151264,5329674,2653722,1704613,3646178,5023295,51188954,201068,195830,2669,12042,2103,2887,*,1086,16,*,6839,9532,7640,6873,3929,2988,2652,5080,1677,4534,6306,157,232941099,39313549,193627550,2480805,10055503,*,59794217,33325,*,3888009,3835489,1610545,5276673,2522116,62443358,5261759,4123638,770990,8918537,61926135,123336,0.186,0.0507,0.314,2006
AK,Partial Benefit,283,283,154,129,0.972,0.993,0.852,*,*,0.64,0.053,0.307,0.693,0.544,0.456,0.576,*,*,*,0.336,*,0.693,*,*,0.053,*,*,*,0.205,0.473,0.325,*,*,*,0.201,0.0459,*,*,0.0636,0.163,0.0495,0.0424,0.0813,0.0636,0.152,0.127,0.205,*,*,0.212,0.399,0.184,0.053,0.29,*,*,*,*,*,*,*,0.131,0.113,*,0.0813,0.0459,*,*,0.0389,0.0424,0.127,*,*,*,*,*,*,*,*,*,0.0459,*,*,*,*,0.0495,*,0.0459,*,*,*,*,*,*,*,*,*,*,*,*,*,0.0883,*,0.0389,*,*,*,*,*,435,88,1037133,17,0.193,177,625.4,*,*,*,56,*,*,*,*,*,202,*,29,*,*,*,63,218,114,162,158,68,72,174,15,2670020,1037133,*,*,*,*,*,393714,*,8769,*,*,*,*,117615,114669,48687,30130,31156,172178,439338,30646,28132,*,52,*,*,*,*,*,*,21,31,*,*,11,*,*,*,*,*,*,*,117796,*,*,*,*,*,*,*,*,12245,8076,*,*,4683,*,*,*,*,*,*,*,*,0.0389,*,2006
AK,Medicare Only,44058,39788,19532,20256,.,0.903,0.212,0.0101,0.101,0.813,0.0758,0.111,0.889,0.484,0.516,0.803,0.0237,0.02,0.016,0.124,0.013,0.888,0.108,0.0045,.,.,.,.,.,.,.,.,.,.,.,0.047,0.0056,0.0227,0.058,0.125,0.028,0.0653,0.135,0.0655,0.0709,0.102,0.17,0.0749,0.0048,0.247,0.364,0.194,0.0343,0.191,0.0242,0.0468,0.0116,0.0036,0.0092,0.0608,0.0845,0.0644,0.0544,0.0013,0.0299,0.0072,0.0015,0.0026,0.0036,0.0107,0.0419,*,*,0.0012,0.0043,0.0007,*,0.0135,0.0036,*,0.0248,0.0018,0.0007,0.0013,0.002,0.0138,0.0074,0.0316,*,0.0003,0.0007,0.0008,0.0029,0.0019,*,*,0.0054,0.0006,0.0103,0.0164,0.0071,0.0315,0.0221,0.0441,0.0028,0.0019,0.0022,*,*,43400,8195,106180867,1146,0.14,15783,396.7,*,0.0013,0.0005,6072,61,166,636,1484,346,23802,171,1891,473,*,2684,13172,31927,18284,23303,24538,6872,8364,7535,316,239192742,106180867,1034322,3180777,7781236,6082842,2779060,34148924,3103238,501949,*,*,1859379,5472342,14892541,16438057,9220556,5254558,4454797,5782686,8973721,878241,882591,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2006
AK,Medicaid Only (Disability),8538,8538,4339,4199,1,.,.,0.5,0.486,.,.,0.985,.,0.508,0.492,0.524,0.0617,0.0779,*,0.279,*,.,.,.,0.813,*,0.017,*,0.17,0.0015,0.898,0.0096,0.0025,0.0109,0.0772,0.0196,0.0026,0.0015,0.0164,0.0637,0.0337,0.0073,0.0213,0.0321,0.0492,0.0365,0.104,0.0199,0.0014,0.05,0.115,0.0444,0.0062,0.0977,0.0114,0.0237,0.0029,*,0.0063,0.0029,0.0076,0.126,0.15,0.0669,0.125,0.0851,0.0237,0.0559,0.0902,0.107,0.0479,0.0422,0.0384,0.0056,0.0358,0.0741,0.0375,0.0329,0.0083,0.0036,0.0368,0.0032,0.015,0.0036,0.0067,0.0801,0.0515,0.0381,*,0.0014,0.0026,0.0102,0.0237,0.0159,*,*,0.0413,0.0095,0.0068,0.0205,0.0218,0.0286,0.0163,0.0057,0.0128,0.0117,0.0037,0.0022,*,15506,2152,34224695,872,0.405,2894,339.0,0.034,0.0047,0.205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1629,7895,1324,3233,*,146,219,25,4083,6324,5838,3946,6859,1234,1691,3467,2022,2325,3882,191,171294955,30037895,200281251,34224695,27136532,*,8343336,675850,*,10887898,13614321,7407410,6645244,37052495,23025783,2697649,8087994,982495,6342953,43007825,221504,0.128,0.0478,0.259,2006
AL,Full Benefit,97042,89569,61106,28463,0.915,0.876,0.997,0.123,0.303,0.415,0.16,0.425,0.575,0.686,0.314,0.539,0.444,0.0068,0.0054,0.0011,0.004,0.57,0.415,0.0149,0.705,*,0.0058,*,0.289,0.366,0.614,*,0.0008,*,0.02,0.0774,0.0106,0.132,0.236,0.286,0.0629,0.058,0.124,0.138,0.182,0.257,0.322,0.0709,0.0193,0.233,0.577,0.273,0.0526,0.313,0.0771,0.0234,0.0092,0.0022,0.0076,0.0303,0.048,0.176,0.188,0.0133,0.107,0.0477,0.0139,0.005,0.0649,0.126,0.0965,0.0017,0.013,0.0032,0.0325,0.0621,0.0007,0.0581,0.0048,0.0014,0.0188,0.0102,0.0036,0.0065,0.006,0.0308,0.0356,0.0497,0.0004,0.0009,0.0009,0.0041,0.007,0.0057,*,*,0.0127,0.0057,0.0065,0.0264,0.0268,0.0697,0.075,0.125,0.0116,0.0092,0.0091,0.0012,0.0025,433133,72563,331782531,16153,0.223,116005,1295.1,0.234,0.0282,0.0367,26086,2755,1008,19030,9452,5462,58667,1870,13875,500,119,3389,32236,81493,50095,63377,68511,32369,41130,89113,12493,1310391819,306781028,27898630,24649860,134086108,45631846,76099282,52439116,42231468,4419976,394238,975605,2359716,23911634,66456648,36630304,21734812,16400305,28821013,28927693,273097394,50326729,46118810,2378,88108,22007,10144,192,22265,17446,2997,5298,68507,48589,16863,47878,40,6647,15262,304,15965,32599,21712,1118918005,93587023,1025349737,25001503,36653109,21882867,709800356,13874032,40344081,1141577,26952439,7777585,3028565,9771349,124137,9107036,22886164,103630,7835559,182652771,6562107,0.0997,0.165,0.228,2006
AL,Partial Benefit,100155,97880,64450,33430,0.97,0.775,0.973,0.0432,0.298,0.555,0.104,0.342,0.658,0.66,0.34,0.641,0.349,0.0018,0.0043,0.0009,0.0022,0.655,0.333,0.0115,0.0022,*,0.934,*,0.0641,0.625,0.314,*,0.0001,*,0.061,0.0545,0.0087,0.0341,0.0738,0.189,0.0435,0.0509,0.112,0.0966,0.138,0.185,0.266,0.057,0.0069,0.272,0.499,0.264,0.0368,0.266,0.0407,0.0249,0.0087,0.0018,0.0087,0.0368,0.0474,0.103,0.1,0.0027,0.0687,0.025,0.006,0.0029,0.0254,0.0391,0.0803,*,0.0012,0.0013,0.0123,0.0035,0.0003,0.021,0.0027,0.0004,0.0146,0.0037,0.0012,0.0027,0.0019,0.0195,0.0203,0.049,0.0002,0.0008,0.0006,0.0033,0.0062,0.0044,*,*,0.0105,0.0051,0.0064,0.0223,0.0182,0.0512,0.0365,0.0805,0.0079,0.0062,0.0065,0.0006,0.0008,256457,47575,266412123,9360,0.197,74694,763.1,0.0156,0.0122,0.008,21818,1218,1042,4067,9505,4080,52393,1455,12471,614,87,4781,40041,70525,45986,56872,62258,31712,29165,87807,30939,1163672693,255528256,11863184,20853980,33163322,46274389,60870774,52386813,33311861,3570814,516938,566281,3470907,20522966,50690752,39456315,23479576,15666072,29693404,11937148,183327178,139648444,126873804,17,37172,9259,377,*,1365,7316,59,1856,33208,22030,1278,1493,15,154,6293,53,5655,7815,12356,56171940,174474,55997466,10883867,627188,*,8918533,2566283,298435,383267,14946190,3829282,396036,720248,81670,118312,8548067,*,2190555,1436849,528922,0.0012,0.125,0.0734,2006
