Year,State,Region,Number of People by Medicare-Medicaid Enrollment Type,Number of People,Number of People with FFS,Number of Females with FFS,Number of Males with FFS,A%_<40,A%_40-64,A%_65-84,A%_85+,F%,M%,White%,AfrA%,His%,Asian%,Indig%,Unknown%,ha%,af%,hf%,dm%,hc%,hyp%,ihd%,strokeorTIA%,obesity%,pad%,Number of FFS people who used Medicare procedures,Number of FFS people who used Medicare imaging services,Number of FFS people who used Medicare laboratory/testing services,Number of FFS people who used Medicare durable medical equipment,Number of people who used Medicare Part D prescription drugs,Total Medicare payments,Total Medicare IP Hospital FFS payments,Total Medicare Other IP Hospital FFS payments,Total Medicare Part B drug FFS payments,Total Medicare procedure FFS payments,Total Medicare imaging FFS payments,Total Medicare durable medical equipment FFS payments,Total Medicare Part D prescription drug FFS costs (total RX cost),Number of FFS people who used Medicaid lab/xray services,Number of FFS people who used Medicaid durable medical equipment services,Number of FFS people who used Medicaid drugs,Number of FFS people who used Medicaid clinic services,Total Medicaid FFS payments,Total Medicaid lab/xray FFS payments,Total Medicaid durable medical equipment FFS payments,Total Medicaid drug FFS payments,Total Medicaid clinic payments,NumHA,NumAF,NumHF,NumDM,NumHC,NumHYP,NumIHD,NumOBESITY,NumSTROKE,NumPAD
2006,AK,West,Medicare Only,44058,39788,19532,20256,0.0101,0.101,0.813,0.0758,0.484,0.516,0.803,0.0237,0.02,0.016,0.124,0.013,0.0056,0.0653,0.102,0.17,0.247,0.364,0.194,0.0242,0.0315,0.0441,18284.0,23303.0,24538.0,6872.0,7535.0,239192742,106180867.0,1034322.0,5472342.0,16438057.0,9220556.0,4454797.0,8973721.0,,,,,,,,,,246.7248,2876.9874,4493.915999999999,7489.860000000001,10882.326,16037.112,8547.252,1387.827,1066.2036,1942.9578
2006,AL,Southeast,Medicare Only,612504,526262,280727,245535,0.0158,0.164,0.727,0.0929,0.526,0.474,0.826,0.164,0.0024,0.0037,0.0006,0.0037,0.0084,0.0686,0.154,0.24,0.384,0.543,0.294,0.0422,0.0303,0.0762,328578.0,372674.0,417903.0,155549.0,219533.0,4169066692,1261371939.0,30934133.0,143165672.0,267649871.0,158354514.0,115206166.0,233237145.0,,,,,,,,,,5145.0336,42017.774399999995,94325.616,147000.96,235201.536,332589.672,180076.17599999998,18558.8712,25847.6688,46672.804800000005
2006,AR,Southeast,Medicare Only,393612,365351,194054,171297,0.0131,0.15,0.737,0.0998,0.522,0.478,0.907,0.0774,0.0026,0.0057,0.003,0.0038,0.0086,0.0628,0.143,0.196,0.311,0.465,0.3,0.0373,0.0248,0.0683,209985.0,243769.0,279906.0,99304.0,158494.0,2389731951,775904106.0,27406688.0,93828425.0,165528978.0,89574230.0,77166511.0,158126057.0,,,,,,,,,,3385.0632,24718.833599999998,56286.515999999996,77147.952,122413.332,183029.58000000002,118083.59999999999,9761.5776,14681.7276,26883.6996
2006,AZ,Southwest,Medicare Only,710739,464135,241599,222536,0.0081,0.0972,0.784,0.111,0.524,0.476,0.877,0.0199,0.0087,0.0751,0.0131,0.0064,0.0075,0.0698,0.119,0.18,0.359,0.439,0.267,0.0336,0.0282,0.0775,282347.0,306579.0,344358.0,103284.0,309834.0,4992788953,1100715065.0,20053232.0,108225344.0,269347009.0,176423698.0,80625883.0,251438592.0,,,,,,,,,,5330.5425,49609.5822,84577.94099999999,127933.01999999999,255155.30099999998,312014.421,189767.31300000002,20042.839799999998,23880.8304,55082.2725
2006,CA,West,Medicare Only,3355488,1833522,979667,853855,0.0064,0.0826,0.777,0.134,0.539,0.461,0.745,0.0535,0.0604,0.122,0.0029,0.0169,0.0064,0.0723,0.14,0.187,0.363,0.445,0.271,0.036,0.029,0.0746,1060836.0,1146312.0,1278718.0,363432.0,1687843.0,25679698309,4756135280.0,105144257.0,467961286.0,1088196117.0,619215686.0,266007713.0,1375763951.0,,,,,,,,,,21475.1232,242601.7824,469768.32000000007,627476.256,1218042.1439999999,1493192.16,909337.248,97309.152,120797.56799999998,250319.4048
2006,CO,West,Medicare Only,489271,315355,167837,147518,0.0107,0.0954,0.78,0.114,0.539,0.461,0.874,0.0278,0.0108,0.0783,0.0019,0.0069,0.0066,0.0621,0.12,0.157,0.284,0.39,0.217,0.0269,0.026,0.0566,184344.0,206438.0,233052.0,81866.0,215195.0,3211177765,707304522.0,12929082.0,77285435.0,156378748.0,74901960.0,83425875.0,183058736.0,,,,,,,,,,3229.1886,30383.7291,58712.52,76815.547,138952.96399999998,190815.69,106171.807,12721.046,13161.3899,27692.7386
2006,CT,Northeast,Medicare Only,458430,394670,223029,171641,0.0076,0.0729,0.772,0.147,0.557,0.443,0.907,0.0488,0.0095,0.0254,0.0005,0.0085,0.0084,0.0987,0.141,0.226,0.432,0.553,0.308,0.0358,0.0265,0.097,248474.0,276217.0,316370.0,90405.0,170761.0,3535277631,1166840046.0,28795282.0,108939335.0,218152888.0,131893726.0,55701914.0,165779391.0,,,,,,,,,,3850.812,45247.041,64638.63,103605.18000000001,198041.76,253511.79,141196.44,12148.395,16411.793999999998,44467.71
2006,DC,Northeast,Medicare Only,57555,41795,23986,17809,0.0091,0.0674,0.751,0.173,0.567,0.433,0.327,0.624,0.0109,0.0203,0.0003,0.0171,0.0064,0.0463,0.139,0.231,0.321,0.5,0.248,0.0381,0.029,0.0946,23067.0,27909.0,30800.0,8241.0,12392.0,382433414,150363168.0,2002752.0,8800743.0,20997704.0,13791456.0,5262183.0,12421346.0,,,,,,,,,,368.35200000000003,2664.7965,8000.145,13295.205,18475.155,28777.5,14273.64,1669.095,2192.8455,5444.703
2006,DE,Northeast,Medicare Only,115737,107491,58430,49061,0.0093,0.102,0.784,0.105,0.538,0.462,0.858,0.112,0.0097,0.0125,0.0004,0.0075,0.0096,0.0869,0.143,0.261,0.534,0.584,0.342,0.0392,0.0427,0.104,67836.0,77173.0,84825.0,25899.0,39765.0,836702414,303765607.0,3882890.0,22571098.0,63059534.0,40353702.0,16726042.0,45962602.0,,,,,,,,,,1111.0752,10057.5453,16550.391,30207.357,61803.558000000005,67590.408,39582.054000000004,4941.9699,4536.8904,12036.648
2006,FL,Southeast,Medicare Only,2671181,2009201,1076603,932598,0.0068,0.0867,0.781,0.125,0.531,0.469,0.839,0.0658,0.007,0.0812,0.0005,0.0068,0.0087,0.0854,0.146,0.228,0.487,0.531,0.381,0.0418,0.033,0.0944,1356978.0,1461678.0,1634051.0,535346.0,1119046.0,21373272273,4642248966.0,97574585.0,661584396.0,1544423633.0,996477563.0,433929223.0,1036409963.0,,,,,,,,,,23239.274699999998,228118.8574,389992.426,609029.268,1300865.1469999999,1418397.111,1017719.961,88148.973,111655.36579999999,252159.4864
